"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamSynchronize",60583,722587163228,11927226,80.36812906636516
"hipMemcpyHtoD",139602,82566146751,591439,9.183233630878988
"hipDeviceSynchronize",79562,62629792031,787182,6.965857498576681
"hipMemcpyDtoH",18796,27447142505,1460265,3.052746580067228
"hipMalloc",139983,1641003830,11722,0.18251695341317
"hipFree",139981,1332977431,9522,0.14825741124238206
"hipStreamCreate",1,443018521,443018521,0.049273736770333115
"hipExtModuleLaunchKernel",79562,207541324,2608,0.02308331612109377
"hipModuleLaunchKernel",37698,156440762,4149,0.01739977125457094
"hipModuleLoadData",5,79114412,15822882,0.008799322210792365
"hipModuleUnload",4,5574013,1393503,0.0006199570363253838
"hipGetDeviceProperties",155,212466,1370,2.3631052112707485e-05
"hipMemGetInfo",152,193536,1273,2.152560551657656e-05
"hipModuleGetFunction",49,134491,2744,1.4958458434244267e-05
"hipGetDevice",153,88241,576,9.814406396681923e-06
"hipHostMalloc",1,81023,81023,9.011600610581922e-06
"hipFuncGetAttribute",56,13833,247,1.5385442559048632e-06
"hipModuleGetGlobal",8,4759,594,5.293090518218206e-07
"hipRuntimeGetVersion",1,3817,3817,4.2453722437568585e-07
"hipEventCreate",34,3765,110,4.187536415442644e-07
"hipFuncSetCacheConfig",28,3336,119,3.710390831850375e-07
"hipDeviceGetAttribute",1,2415,2415,2.6860293342082297e-07
"hipPointerGetAttributes",1,1343,1343,1.4937214889613468e-07
"hipDeviceGet",2,341,170,3.792695664451372e-08
"hipDeviceGetName",1,270,270,3.003014162468829e-08
"hipDeviceComputeCapability",1,251,251,2.7916909436284296e-08
"hipGetDeviceCount",2,170,85,1.890786694887781e-08
