"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamSynchronize",27488,798683869284,29055728,86.28845647653115
"hipMemcpyHtoD",115844,52321815839,451657,5.652760625858146
"hipDeviceSynchronize",60887,44956352031,738357,4.857008354316927
"hipMemcpyDtoH",9459,27734293104,2932053,2.9963661912406723
"hipMalloc",116225,728759747,6270,0.0787339723878872
"hipStreamCreate",1,443034441,443034441,0.047864692840364896
"hipFree",116223,397878408,3423,0.04298611129136433
"hipExtModuleLaunchKernel",60887,172088864,2826,0.018592190255040077
"hipModuleLoadData",5,77831767,15566353,0.008408812669888681
"hipModuleLaunchKernel",19024,75110362,3948,0.008114796669405247
"hipModuleUnload",4,5735689,1433922,0.000619674153533494
"hipMemGetInfo",152,295152,1941,3.188772364814721e-05
"hipGetDeviceProperties",155,181932,1173,1.9655626046087164e-05
"hipModuleGetFunction",51,131752,2583,1.4234263586527252e-05
"hipHostMalloc",1,94098,94098,1.0166189013943176e-05
"hipGetDevice",153,81796,534,8.83710170869196e-06
"hipFuncGetAttribute",52,11286,217,1.2193203810002624e-06
"hipEventCreate",34,4707,138,5.085363311508271e-07
"hipRuntimeGetVersion",1,3877,3877,4.1886453279620923e-07
"hipFuncSetCacheConfig",26,3144,120,3.3967245063484184e-07
"hipModuleGetGlobal",4,2795,698,3.0196708000139405e-07
"hipDeviceGetAttribute",1,2625,2625,2.83600567085388e-07
"hipPointerGetAttributes",1,1182,1182,1.2770128392187755e-07
"hipDeviceGetName",1,351,351,3.792144725598902e-08
"hipDeviceGet",2,340,170,3.6733025832012155e-08
"hipDeviceComputeCapability",1,281,281,3.035876546704534e-08
"hipGetDeviceCount",2,150,75,1.62057466905936e-08
