"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamSynchronize",68093,742991226050,10911418,80.00508117133697
"hipMemcpyHtoD",144685,83858719296,579595,9.02988273477855
"hipDeviceSynchronize",84423,70237607474,831972,7.56316533791708
"hipMemcpyDtoH",21223,27455969222,1293689,2.9564508559836167
"hipMalloc",145066,1720140701,11857,0.1852242551251396
"hipFree",145064,1488589723,10261,0.16029091252205238
"hipStreamCreate",1,442992291,442992291,0.047701282272405277
"hipExtModuleLaunchKernel",84423,222051062,2630,0.023910394385055708
"hipModuleLaunchKernel",42552,175333440,4120,0.0188798543070625
"hipModuleLoadData",5,80699148,16139829,0.008689661007872053
"hipModuleUnload",4,5998105,1499526,0.0006458742183947518
"hipMemGetInfo",152,202072,1329,2.1759054744700915e-05
"hipGetDeviceProperties",155,201023,1296,2.164609872690928e-05
"hipModuleGetFunction",45,122712,2726,1.321359280767122e-05
"hipHostMalloc",1,89068,89068,9.590816580233883e-06
"hipGetDevice",153,71910,470,7.74324808331408e-06
"hipFuncGetAttribute",56,13778,246,1.4836110706703016e-06
"hipEventCreate",34,4216,124,4.539776654047026e-07
"hipRuntimeGetVersion",1,4098,4098,4.412714593995425e-07
"hipModuleGetGlobal",8,4008,501,4.3158028532781025e-07
"hipDeviceGetAttribute",1,2916,2916,3.139940399241254e-07
"hipFuncSetCacheConfig",28,2682,95,2.8879698733762153e-07
"hipPointerGetAttributes",1,1453,1453,1.5645862140252203e-07
"hipDeviceGet",2,561,280,6.040831838046446e-08
"hipDeviceGetName",1,321,321,3.456518752251175e-08
"hipDeviceComputeCapability",1,251,251,2.7027607688942208e-08
"hipGetDeviceCount",2,201,100,2.1643622093535394e-08
