"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"gpu_tdhf_apb_j06_pppp_$ck_L649_31",64,176845677548,2763213711,23.70723409801555
"gpu_tdhf_amb_j06_pppp_$ck_L649_31",65,131217218798,2018726443,17.590462864948286
"gpu_tdhf_apb_j05_ppps_$ck_L542_25",64,110968598611,1733884353,14.876012698052243
"gpu_tdhf_amb_j05_ppps_$ck_L542_25",65,55970394300,861082989,7.503170326954602
"gpu_rhf_j06_pppp_$ck_L682_31",882,38608986039,43774360,5.17576840443358
"gpu_rhf_j05_ppps_$ck_L573_25",882,32881429225,37280532,4.4079547259662215
"Cijk_Alik_Bljk_DB_MT128x128x16_MI16x16x4x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASGT_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DTVA0_DVO0_ETSP_EPS1_FL0_GRVW2_GSU1_GSUASB_GLS0_ISA90a_IU1_K1_KLA_LBSPP128_LPA4_LPB4_LDL1_LRVW2_LWPMn1_LDW0_MAC_MIAV1_MDA2_NTC3_NTD3_NEPBS1_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR5_RK0_SIA3_SS1_SU32_SUM0_SUS256_SCIUI1_SPO1_SRVW0_SSO4_SVW2_SNLL0_TT2_128_TLDS1_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG64_4_1_WGM5",16104,31736808622,1970740,4.2545114020186094
"Cijk_Ailk_Bljk_DB_MT64x64x8_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASGT_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DTVA0_DVO0_ETSP_EPS0_FL0_GRVW2_GSU1_GSUAMB_GLS1_ISA90a_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW1_LWPMn1_LDW0_MAC_MIAV0_MDA2_NTC0_NTD0_NEPBS4_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR3_RK0_SIA3_SS1_SU32_SUM0_SUS128_SCIUI1_SPO1_SRVW0_SSO6_SVW2_SNLL0_TT2_32_TLDS0_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG32_8_1_WGM11",16425,27585982868,1679511,3.698068071231287
"gpu_cphf_j06_pppp_$ck_L645_31",9,24888002210,2765333578,3.33638742436468
"rimp2_eng_tail_$ck_L3345_31",15789,17851241482,1130612,2.3930670323514853
"gpu_cphf_j05_ppps_$ck_L539_25",9,16328849590,1814316621,2.1889811792337652
"gpu_tdhf_apb_j03_ppss_$ck_L312_13",64,14289652347,223275817,1.915614438908957
"gpu_rhf_j04_psps_$ck_L445_19",882,10261592420,11634458,1.3756286107322682
"gpu_tdhf_apb_j04_psps_$ck_L421_19",64,10050930544,157045789,1.3473881104322054
"gpu_tdhf_amb_j04_psps_$ck_L420_19",65,8065668993,124087215,1.0812517762683584
"gpu_rhf_j02_psss_$ck_L207_7",882,7271932089,8244820,0.9748465372132245
"gpu_rhf_j03_ppss_$ck_L331_13",882,6798506850,7708057,0.9113810167408022
"rimp2_b32_transpose_$ck_L1934_15_cce$noloop$form",15789,4526032761,286657,0.6067421024253818
"gpu_rhf_j01_ssss_$ck_L74_1",882,2859991008,3242620,0.3833991154602708
"gpu_tdhf_apb_j02_psss_$ck_L190_7",64,2546041188,39781893,0.3413122407287712
"gpu_cphf_j03_ppss_$ck_L310_13",9,2396245344,266249482,0.32123120063858335
"Cijk_Alik_Bjlk_DB_MT64x16x8_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASGT_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DTVA0_DVO0_ETSP_EPS0_FL0_GRVW2_GSU1_GSUASB_GLS1_ISA90a_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW1_LWPMn1_LDW0_MAC_MIAV0_MDA2_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR3_RK0_SIA3_SS1_SU0_SUM0_SUS0_SCIUI1_SPO1_SRVW0_SSO6_SVW2_SNLL0_TT2_16_TLDS0_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG32_4_1_WGM11",47903,2262644981,47233,0.3033212628604255
"Cijk_Alik_Bljk_DB_MT64x16x16_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASGT_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DTVA0_DVO0_ETSP_EPS0_FL0_GRVW2_GSU1_GSUASB_GLS1_ISA90a_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW1_LWPMn1_LDW0_MAC_MIAV0_MDA2_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR5_RK0_SIA3_SS1_SU32_SUM0_SUS128_SCIUI1_SPO1_SRVW0_SSO6_SVW2_SNLL0_TT2_16_TLDS0_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG32_4_1_WGM5",973,2217649545,2279187,0.2972893521607436
"gpu_tdhf_amb_j03_ppss_$ck_L311_13",65,1457239589,22419070,0.19535179232154024
"gpu_cphf_j04_psps_$ck_L418_19",9,1403398980,155933220,0.18813413261257578
"rimp2_eng_head_$ck_L3294_23",1288,1380209953,1071591,0.1850255031045405
