"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"gpu_tdhf_apb_j06_pppp_$ck_L649_31",64,166469352577,2601083634,22.96010519337686
"gpu_tdhf_amb_j06_pppp_$ck_L649_31",65,126601590957,1947716783,17.461387342616483
"gpu_tdhf_apb_j05_ppps_$ck_L542_25",64,107732134567,1683314602,14.858838002756219
"gpu_tdhf_amb_j05_ppps_$ck_L542_25",65,55215148046,849463816,7.615489504698134
"gpu_rhf_j06_pppp_$ck_L682_31",882,35399461781,40135444,4.882432433950487
"gpu_rhf_j05_ppps_$ck_L573_25",882,30871820952,35002064,4.257962475352048
"Cijk_Alik_Bljk_DB_MT128x128x16_MI16x16x4x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASGT_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DTVA0_DVO0_ETSP_EPS1_FL0_GRVW2_GSU1_GSUASB_GLS0_ISA90a_IU1_K1_KLA_LBSPP128_LPA4_LPB4_LDL1_LRVW2_LWPMn1_LDW0_MAC_MIAV1_MDA2_NTC3_NTD3_NEPBS1_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR5_RK0_SIA3_SS1_SU32_SUM0_SUS256_SCIUI1_SPO1_SRVW0_SSO4_SVW2_SNLL0_TT2_128_TLDS1_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG64_4_1_WGM5",13085,26093612608,1994162,3.5989332635734668
"gpu_cphf_j06_pppp_$ck_L645_31",9,23984117538,2664901948,3.3079834403037047
"Cijk_Ailk_Bljk_DB_MT64x64x8_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASGT_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DTVA0_DVO0_ETSP_EPS0_FL0_GRVW2_GSU1_GSUAMB_GLS1_ISA90a_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW1_LWPMn1_LDW0_MAC_MIAV0_MDA2_NTC0_NTD0_NEPBS4_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR3_RK0_SIA3_SS1_SU32_SUM0_SUS128_SCIUI1_SPO1_SRVW0_SSO6_SVW2_SNLL0_TT2_32_TLDS0_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG32_8_1_WGM11",13870,23270480842,1677756,3.209555871767118
"gpu_tdhf_apb_j03_ppss_$ck_L312_13",64,16621093633,259704588,2.2924463412334593
"gpu_cphf_j05_ppps_$ck_L539_25",9,15412866917,1712540768,2.125802979753593
"rimp2_eng_tail_$ck_L3345_31",12903,14658772847,1136074,2.0217953717171944
"gpu_tdhf_amb_j04_psps_$ck_L420_19",65,13919317891,214143352,1.9198068476273278
"gpu_tdhf_apb_j04_psps_$ck_L421_19",64,13621012195,212828315,1.8786633575258964
"gpu_rhf_j04_psps_$ck_L445_19",882,10432126704,11827808,1.4388397792541734
"gpu_rhf_j02_psss_$ck_L207_7",882,8834749209,10016722,1.2185232179714085
"gpu_rhf_j03_ppss_$ck_L331_13",882,8568992544,9715411,1.181869017725038
"rimp2_b32_transpose_$ck_L1934_15_cce$noloop$form",12903,4347336388,336924,0.5996016638156004
"gpu_cphf_j03_ppss_$ck_L310_13",9,3032975805,336997311,0.41831990365647775
"gpu_tdhf_apb_j02_psss_$ck_L190_7",64,2908421402,45444084,0.4011408724960395
"gpu_rhf_j01_ssss_$ck_L74_1",882,2586573714,2932623,0.35675037864037884
"Cijk_Alik_Bjlk_DB_MT64x16x8_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASGT_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DTVA0_DVO0_ETSP_EPS0_FL0_GRVW2_GSU1_GSUASB_GLS1_ISA90a_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW1_LWPMn1_LDW0_MAC_MIAV0_MDA2_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR3_RK0_SIA3_SS1_SU0_SUM0_SUS0_SCIUI1_SPO1_SRVW0_SSO6_SVW2_SNLL0_TT2_16_TLDS0_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG32_4_1_WGM11",47901,2238164627,46724,0.3086964325895691
"gpu_cphf_j04_psps_$ck_L418_19",9,1919104981,213233886,0.26469047640773596
