"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamSynchronize",39252,842422538556,21461901,85.75552600803246
"hipMemcpyHtoD",124952,58785838001,470467,5.984182792924675
"hipDeviceSynchronize",66195,50597709653,764373,5.15066134570933
"hipMemcpyDtoH",12115,27889042587,2302025,2.8390022909502433
"hipMalloc",125333,1046775551,8351,0.10655791349341465
"hipFree",125331,819600134,6539,0.08343228889376597
"hipStreamCreate",1,443060459,443060459,0.045101930416097946
"hipExtModuleLaunchKernel",66195,166621272,2517,0.01696143463704065
"hipModuleLaunchKernel",24336,99096542,4072,0.0100876646763911
"hipModuleLoadData",5,76826036,15365207,0.007820608811802444
"hipModuleUnload",4,5780724,1445181,0.0005884565104074598
"hipMemGetInfo",152,230224,1514,2.3435959172596202e-05
"hipGetDeviceProperties",155,190002,1225,1.9341507031029013e-05
"hipModuleGetFunction",49,135102,2757,1.3752888300681476e-05
"hipGetDevice",153,89145,582,9.074634184277436e-06
"hipHostMalloc",1,77386,77386,7.877611094110648e-06
"hipFuncGetAttribute",56,15129,270,1.5400767353629855e-06
"hipEventCreate",34,5085,149,5.176343578108785e-07
"hipModuleGetGlobal",8,4218,527,4.293769363316196e-07
"hipRuntimeGetVersion",1,3897,3897,3.967003131541777e-07
"hipFuncSetCacheConfig",28,3146,112,3.202512664057077e-07
"hipDeviceGetAttribute",1,3026,3026,3.080357063393743e-07
"hipPointerGetAttributes",1,1332,1332,1.3559271673630093e-07
"hipDeviceComputeCapability",1,552,552,5.6191576305133715e-08
"hipDeviceGetName",1,351,351,3.573051319402524e-08
"hipDeviceGet",2,290,145,2.952093682697242e-08
"hipGetDeviceCount",2,130,65,1.3233523405194534e-08
