"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamSynchronize",56329,669973406589,11893933,80.34593804860714
"hipMemcpyHtoD",136716,76112061211,556716,9.127668194988926
"hipDeviceSynchronize",76819,57787905093,752260,6.930160804739617
"hipMemcpyDtoH",17428,26361824765,1512613,3.1614173317721996
"hipMalloc",137097,1495757735,10910,0.1793773560713269
"hipFree",137095,1211705483,8838,0.14531265377522526
"hipStreamCreate",1,443031475,443031475,0.05313013784406748
"hipExtModuleLaunchKernel",76819,235656410,3067,0.028260875927919305
"hipModuleLaunchKernel",34962,155151857,4437,0.018606442237931394
"hipModuleLoadData",5,78072772,15614554,0.00936280461388991
"hipModuleUnload",4,5608147,1402036,0.000672551816233358
"hipGetDeviceProperties",155,221799,1430,2.6599038914055315e-05
"hipMemGetInfo",152,203796,1340,2.4440045872744317e-05
"hipModuleGetFunction",49,137933,2814,1.6541486817038812e-05
"hipGetDevice",153,97328,636,1.1671969934161902e-05
"hipHostMalloc",1,80372,80372,9.638537394670191e-06
"hipFuncGetAttribute",56,12986,231,1.5573339795847695e-06
"hipModuleGetGlobal",8,4300,537,5.156735031737648e-07
"hipEventCreate",34,4230,124,5.072788182383779e-07
"hipRuntimeGetVersion",1,3176,3176,3.8087884792555275e-07
"hipFuncSetCacheConfig",28,3175,113,3.8075892385504724e-07
"hipDeviceGetAttribute",1,2504,2504,3.0028987254583884e-07
"hipPointerGetAttributes",1,1142,1142,1.3695328851731148e-07
"hipDeviceGetName",1,320,320,3.837570256176854e-08
"hipDeviceGet",2,311,155,3.72963859272188e-08
"hipDeviceComputeCapability",1,271,271,3.249942310699773e-08
"hipGetDeviceCount",2,160,80,1.918785128088427e-08
