"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"gpu_tdhf_apb_j06_pppp_$ck_L649_31",64,170145560256,2658524379,19.104452027024525
"gpu_tdhf_apb_j05_ppps_$ck_L542_25",64,163147344050,2549177250,18.318671395539855
"gpu_tdhf_amb_j06_pppp_$ck_L649_31",65,138266407724,2127175503,15.524965502113485
"gpu_tdhf_amb_j05_ppps_$ck_L542_25",65,124023215488,1908049469,13.925697308603542
"gpu_rhf_j05_ppps_$ck_L573_25",882,44483387633,50434679,4.9947277128802785
"gpu_rhf_j06_pppp_$ck_L682_31",882,37382436426,42383714,4.1974116884347366
"Cijk_Alik_Bljk_DB_MT128x128x16_MI16x16x4x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASGT_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DTVA0_DVO0_ETSP_EPS1_FL0_GRVW2_GSU1_GSUASB_GLS0_ISA90a_IU1_K1_KLA_LBSPP128_LPA4_LPB4_LDL1_LRVW2_LWPMn1_LDW0_MAC_MIAV0_MDA2_NTC3_NTD3_NEPBS1_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR5_RK0_SIA3_SS1_SU32_SUM0_SUS256_SCIUI1_SPO1_SRVW0_SSO4_SVW2_SNLL0_TT2_128_TLDS1_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG64_4_1_WGM5",7378,27706668320,3755308,3.110987527101544
"gpu_cphf_j06_pppp_$ck_L645_31",9,24033412037,2670379115,2.6985433332245234
"gpu_cphf_j05_ppps_$ck_L539_25",9,23305335511,2589481723,2.6167927248510723
"gpu_tdhf_amb_j04_psps_$ck_L420_19",65,21462579634,330193532,2.409882587456391
"gpu_tdhf_apb_j04_psps_$ck_L421_19",64,21351758379,333621224,2.3974392457286573
"gpu_tdhf_apb_j03_ppss_$ck_L312_13",64,18322122427,286283162,2.057262666232562
"Cijk_Ailk_Bljk_DB_MT64x64x8_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASGT_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DTVA0_DVO0_ETSP_EPS0_FL0_GRVW2_GSU1_GSUAMB_GLS1_ISA90a_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW1_LWPMn1_LDW0_MAC_MIAV0_MDA2_NTC0_NTD0_NEPBS4_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR3_RK0_SIA3_SS1_SU32_SUM0_SUS128_SCIUI1_SPO1_SRVW0_SSO6_SVW2_SNLL0_TT2_32_TLDS0_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG32_8_1_WGM11",8760,15078748802,1721318,1.693086982004892
