"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamSynchronize",51547,664128023169,12883931,80.43157765878347
"hipMemcpyHtoD",133452,70054630230,524942,8.484214240524185
"hipDeviceSynchronize",73787,60045029516,813761,7.271966075900908
"hipMemcpyDtoH",15910,28115719983,1767172,3.4050538997807367
"hipMalloc",133833,1367950721,10221,0.16567051955508588
"hipFree",133831,1142784893,8539,0.13840101405452107
"hipStreamCreate",1,442753299,442753299,0.0536212072218779
"hipExtModuleLaunchKernel",73787,187704500,2543,0.022732618624664344
"hipModuleLaunchKernel",31926,132985199,4165,0.016105643773016067
"hipModuleLoadData",5,81106067,16221213,0.009822637652573456
"hipModuleUnload",4,6153848,1538462,0.0007452835688976739
"hipMemGetInfo",152,208165,1369,2.521055998126445e-05
"hipGetDeviceProperties",155,199794,1288,2.4196760362677444e-05
"hipModuleGetFunction",47,123984,2637,1.5015521671352493e-05
"hipGetDevice",153,106926,698,1.2949652134396669e-05
"hipHostMalloc",1,64792,64792,7.84686475779351e-06
"hipFuncGetAttribute",56,13473,240,1.6316954081021111e-06
"hipEventCreate",34,4452,130,5.391752361664513e-07
"hipModuleGetGlobal",8,3988,498,4.82980871929876e-07
"hipFuncSetCacheConfig",28,3417,122,4.138278935266766e-07
"hipRuntimeGetVersion",1,3025,3025,3.663533444302595e-07
"hipDeviceGetAttribute",1,2325,2325,2.8157736390094323e-07
"hipPointerGetAttributes",1,1173,1173,1.4206032165841135e-07
"hipDeviceGet",2,390,195,4.723233200919048e-08
"hipDeviceGetName",1,250,250,3.027713590332723e-08
"hipDeviceComputeCapability",1,240,240,2.906605046719414e-08
"hipGetDeviceCount",2,140,70,1.6955196105863248e-08
