"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamSynchronize",64527,682298180178,10573840,79.06973219693104
"hipMemcpyHtoD",142258,83281466982,585425,9.651269023634754
"hipDeviceSynchronize",82133,66468018054,809272,7.7028028798486
"hipMemcpyDtoH",20084,26728750605,1330847,3.0975242404201477
"hipMalloc",142639,1734066770,12157,0.20095641333782682
"hipFree",142637,1431258824,10034,0.165864801059048
"hipStreamCreate",1,443009443,443009443,0.051339193092356204
"hipExtModuleLaunchKernel",82133,255268149,3107,0.029582350893227697
"hipModuleLaunchKernel",40274,180013589,4469,0.020861298897682977
"hipModuleLoadData",5,79444025,15888805,0.009206558018017176
"hipModuleUnload",4,6694009,1673502,0.0007757510049576309
"hipGetDeviceProperties",155,215879,1392,2.5017646555188137e-05
"hipMemGetInfo",152,197045,1296,2.2835024089731035e-05
"hipModuleGetFunction",45,125334,2785,1.4524625893894034e-05
"hipGetDevice",153,82082,536,9.512265966318876e-06
"hipHostMalloc",1,78488,78488,9.095766808367681e-06
"hipFuncGetAttribute",56,14761,263,1.7106132639169724e-06
"hipModuleGetGlobal",8,6023,752,6.979895460044661e-07
"hipEventCreate",34,4808,141,5.571864082997631e-07
"hipRuntimeGetVersion",1,3646,3646,4.2252530047024464e-07
"hipFuncSetCacheConfig",28,3213,114,3.7234607526354803e-07
"hipDeviceGetAttribute",1,2505,2505,2.9029782711957295e-07
"hipPointerGetAttributes",1,1172,1172,1.3581998139087404e-07
"hipDeviceGet",2,361,180,4.1835335564936454e-08
"hipDeviceGetName",1,260,260,3.013071259524509e-08
"hipDeviceComputeCapability",1,240,240,2.7812965472533934e-08
"hipGetDeviceCount",2,181,90,2.0975611460536006e-08
