"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"gpu_tdhf_apb_j06_pppp_$ck_L649_31",64,160826629600,2512916087,20.553681492214515
"gpu_tdhf_apb_j05_ppps_$ck_L542_25",64,134941817030,2108465891,17.24559629281262
"gpu_tdhf_amb_j06_pppp_$ck_L649_31",65,123536961513,1900568638,15.788053046745965
"gpu_tdhf_amb_j05_ppps_$ck_L542_25",65,86027774689,1323504225,10.99437005450806
"gpu_rhf_j05_ppps_$ck_L573_25",882,37053257226,42010495,4.735415081236646
"gpu_rhf_j06_pppp_$ck_L682_31",882,35395356444,40130789,4.523534967205323
"Cijk_Alik_Bljk_DB_MT128x128x16_MI16x16x4x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASGT_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DTVA0_DVO0_ETSP_EPS1_FL0_GRVW2_GSU1_GSUASB_GLS0_ISA90a_IU1_K1_KLA_LBSPP128_LPA4_LPB4_LDL1_LRVW2_LWPMn1_LDW0_MAC_MIAV1_MDA2_NTC3_NTD3_NEPBS1_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR5_RK0_SIA3_SS1_SU32_SUM0_SUS256_SCIUI1_SPO1_SRVW0_SSO4_SVW2_SNLL0_TT2_128_TLDS1_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG64_4_1_WGM5",14399,28489186956,1978553,3.640924865006164
"Cijk_Ailk_Bljk_DB_MT64x64x8_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASGT_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DTVA0_DVO0_ETSP_EPS0_FL0_GRVW2_GSU1_GSUAMB_GLS1_ISA90a_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW1_LWPMn1_LDW0_MAC_MIAV0_MDA2_NTC0_NTD0_NEPBS4_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR3_RK0_SIA3_SS1_SU32_SUM0_SUS128_SCIUI1_SPO1_SRVW0_SSO6_SVW2_SNLL0_TT2_32_TLDS0_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG32_8_1_WGM11",15184,25611970422,1686773,3.273215908031483
"gpu_cphf_j06_pppp_$ck_L645_31",9,23068944528,2563216058,2.948216594287672
"gpu_tdhf_apb_j03_ppss_$ck_L312_13",64,19506771856,304793310,2.492970080058919
