"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"gpu_tdhf_apb_j06_pppp_$ck_L649_31",64,139603913432,2181311147,19.34712874238252
"gpu_tdhf_apb_j05_ppps_$ck_L542_25",64,128983000568,2015359383,17.875220373269897
"gpu_tdhf_amb_j06_pppp_$ck_L649_31",65,97313655312,1497133158,13.486296848190927
"gpu_tdhf_amb_j05_ppps_$ck_L542_25",65,94754493017,1457761431,13.131633134425243
"gpu_rhf_j05_ppps_$ck_L573_25",882,36784962121,41706306,5.097875700205975
"Cijk_Alik_Bljk_DB_MT128x128x16_MI16x16x4x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASGT_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DTVA0_DVO0_ETSP_EPS1_FL0_GRVW2_GSU1_GSUASB_GLS0_ISA90a_IU1_K1_KLA_LBSPP128_LPA4_LPB4_LDL1_LRVW2_LWPMn1_LDW0_MAC_MIAV0_MDA2_NTC3_NTD3_NEPBS1_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR5_RK0_SIA3_SS1_SU32_SUM0_SUS256_SCIUI1_SPO1_SRVW0_SSO4_SVW2_SNLL0_TT2_128_TLDS1_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG64_4_1_WGM5",11146,30885277791,2770974,4.280262859234118
"gpu_rhf_j06_pppp_$ck_L682_31",882,29757336167,33738476,4.123946096494873
"Cijk_Ailk_Bljk_DB_MT64x64x8_MI16x16x4x1_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASGT_ASAE01_ASCE01_ASEM1_AAC0_BL1_DTL0_DTVA0_DVO0_ETSP_EPS0_FL0_GRVW2_GSU1_GSUAMB_GLS1_ISA90a_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW1_LWPMn1_LDW0_MAC_MIAV0_MDA2_NTC0_NTD0_NEPBS4_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR2_PLR3_RK0_SIA3_SS1_SU32_SUM0_SUS128_SCIUI1_SPO1_SRVW0_SSO6_SVW2_SNLL0_TT2_32_TLDS0_USFGROn1_VAW1_VSn1_VW2_WSGRA0_WSGRB0_WS64_WG32_8_1_WGM11",12410,21069021931,1697745,2.919868574985821
"gpu_cphf_j06_pppp_$ck_L645_31",9,20460309064,2273367673,2.835509577336875
"gpu_cphf_j05_ppps_$ck_L539_25",9,19183185069,2131465007,2.6585182470523816
"gpu_tdhf_apb_j03_ppss_$ck_L312_13",64,17116658249,267447785,2.3721268454560294
